USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  20836 15320 ?        Ss   19:23   0:02 /sbin/init splash
root          72  0.0  0.0      0     0 ?        S    19:23   0:00 [idle_inject/9]
root          73  0.0  0.0      0     0 ?        S    19:23   0:00 [migration/9]
root          74  0.0  0.0      0     0 ?        S    19:23   0:00 [ksoftirqd/9]
root          75  0.0  0.0      0     0 ?        I    19:23   0:00 [kworker/9:0-events]
root          76  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/9:0H-events_highpri]
root          77  0.0  0.0      0     0 ?        S    19:23   0:00 [cpuhp/10]
root          78  0.0  0.0      0     0 ?        S    19:23   0:00 [idle_inject/10]
root          79  0.0  0.0      0     0 ?        S    19:23   0:00 [migration/10]
root          80  0.0  0.0      0     0 ?        S    19:23   0:00 [ksoftirqd/10]
root          82  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/10:0H-events_highpri]
root          83  0.0  0.0      0     0 ?        S    19:23   0:00 [cpuhp/11]
root          84  0.0  0.0      0     0 ?        S    19:23   0:00 [idle_inject/11]
root          85  0.0  0.0      0     0 ?        S    19:23   0:00 [migration/11]
root          86  0.0  0.0      0     0 ?        S    19:23   0:00 [ksoftirqd/11]
root          88  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/11:0H-events_highpri]
root          89  0.0  0.0      0     0 ?        S    19:23   0:00 [kdevtmpfs]
root          90  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-inet_frag_wq]
root          91  0.0  0.0      0     0 ?        I    19:23   0:00 [rcu_tasks_kthread]
root          92  0.0  0.0      0     0 ?        I    19:23   0:00 [rcu_tasks_rude_kthread]
root          93  0.0  0.0      0     0 ?        I    19:23   0:00 [rcu_tasks_trace_kthread]
root          94  0.0  0.0      0     0 ?        S    19:23   0:00 [kauditd]
root          95  0.0  0.0      0     0 ?        S    19:23   0:00 [khungtaskd]
root          97  0.0  0.0      0     0 ?        S    19:23   0:00 [oom_reaper]
root          98  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-writeback]
root          99  0.0  0.0      0     0 ?        S    19:23   0:00 [kcompactd0]
root         100  0.0  0.0      0     0 ?        SN   19:23   0:00 [ksmd]
root         102  0.0  0.0      0     0 ?        SN   19:23   0:00 [khugepaged]
root         103  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-kblockd]
root         104  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-blkcg_punt_bio]
root         105  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-kintegrityd]
root         106  0.0  0.0      0     0 ?        S    19:23   0:00 [irq/9-acpi]
root         108  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-tpm_dev_wq]
root         109  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-ata_sff]
root         110  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-edac-poller]
root         111  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-devfreq_wq]
root         112  0.0  0.0      0     0 ?        S    19:23   0:00 [watchdogd]
root         113  0.0  0.0      0     0 ?        I    19:23   0:00 [kworker/1:1-i915-unordered]
root         114  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-quota_events_unbound]
root         115  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/6:1H-i915_cleanup]
root         117  0.0  0.0      0     0 ?        S    19:23   0:01 [kswapd0]
root         118  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-kthrotld]
root         119  0.0  0.0      0     0 ?        S    19:23   0:00 [irq/123-pciehp]
root         120  0.0  0.0      0     0 ?        S    19:23   0:00 [irq/125-pciehp]
root         121  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-acpi_thermal_pm]
root         123  0.0  0.0      0     0 ?        S    19:23   0:00 [hwrng]
root         124  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-mld]
root         125  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/8:1H-i915_cleanup]
root         126  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-ipv6_addrconf]
root         127  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-kstrp]
root         129  0.0  0.0      0     0 ?        I    19:23   0:00 [kworker/5:1-events]
root         139  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-zswap-shrink]
root         145  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/0:1H-kblockd]
root         146  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/11:1H-i915_cleanup]
root         175  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/9:1H-i915_cleanup]
root         177  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/7:1H-i915_cleanup]
root         179  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_queue]
root         180  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_mem_pool_scrubber_queue]
root         181  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_mem_pool_scrubber_queue]
root         182  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_mem_pool_scrubber_queue]
root         183  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_queue]
root         184  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_open_q]
root         187  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/10:1H-i915_cleanup]
root         204  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/2:1H-kblockd]
root         205  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/3:1H-kblockd]
root         206  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/4:1H-i915_cleanup]
root         207  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/5:1H-i915_cleanup]
root         209  0.0  0.0      0     0 ?        S    19:23   0:00 [nvidia-modeset/kthread_q]
root         210  0.0  0.0      0     0 ?        S    19:23   0:00 [nvidia-modeset/deferred_close_kthread_q]
root         211  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/1:1H-i915_cleanup]
root         212  0.0  0.0      0     0 ?        S    19:23   0:00 [UVM global queue]
root         213  0.0  0.0      0     0 ?        S    19:23   0:00 [UVM deferred release queue]
root         214  0.0  0.0      0     0 ?        S    19:23   0:00 [UVM Tools Event Queue]
root         217  0.0  0.0      0     0 ?        S    19:23   0:00 [irq/144-nvidia]
root         219  0.0  0.0      0     0 ?        S    19:23   0:00 [nv_queue]
root         254  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-nvme-wq]
root         255  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-nvme-reset-wq]
root         256  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-nvme-delete-wq]
root         257  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-nvme-auth-wq]
root         259  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-ttm]
root         260  0.0  0.0      0     0 ?        S    19:23   0:00 [card2-crtc0]
root         261  0.0  0.0      0     0 ?        S    19:23   0:00 [card2-crtc1]
root         262  0.0  0.0      0     0 ?        S    19:23   0:00 [card2-crtc2]
root         263  0.0  0.0      0     0 ?        S    19:23   0:00 [card2-crtc3]
root         324  0.0  0.0      0     0 ?        S    19:23   0:00 [jbd2/nvme0n1p4-8]
root         325  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-ext4-rsv-conversion]
root         397  0.0  0.1  36748 27384 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-journald
root         412  0.0  0.0   9108  4620 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-userdbd
root         436  0.0  0.0      0     0 ?        S    19:23   0:00 [psimon]
systemd+     439  0.0  0.0  24792 15552 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-resolved
systemd+     440  0.0  0.0  85192  7124 ?        Ssl  19:23   0:00 /usr/lib/systemd/systemd-timesyncd
root         446  0.0  0.0  45200 15516 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-udevd
root         448  0.0  0.0      0     0 ?        S    19:23   0:00 [psimon]
systemd+     450  0.0  0.0  19016 13084 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-networkd
root         500  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-cfg80211]
root         519  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-asus_wireless_workqueue]
root         528  0.4  0.0      0     0 ?        S    19:23   0:24 [irq/162-ELAN1203:00]
root         560  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-led_workqueue]
root         566  0.0  0.0      0     0 ?        I<   19:23   0:00 [kworker/R-USBC000:00-con1]
root         581  0.0  0.0      0     0 ?        S    19:23   0:02 [napi/phy0-0]
root         582  0.0  0.0      0     0 ?        S    19:23   0:00 [napi/phy0-0]
root         583  0.0  0.0      0     0 ?        S    19:23   0:02 [napi/phy0-0]
root         585  0.0  0.0      0     0 ?        I    19:23   0:00 [kworker/2:2-inode_switch_wbs]
dbus         612  0.0  0.0   8176  4424 ?        Ss   19:23   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         613  0.0  0.0   7232  5316 ?        S    19:23   0:00 dbus-broker --log 10 --controller 9 --machine-id f9a86127b0634afdb4117875ff41e725 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root         614  0.0  0.1 346684 28444 ?        Ssl  19:23   0:02 /usr/bin/NetworkManager --no-daemon
root         615  0.0  0.0  11424  6644 ?        Ss   19:23   0:00 /usr/lib/bluetooth/bluetoothd
root         616  0.0  0.0 308756  9836 ?        Ssl  19:23   0:00 /usr/lib/boltd
root         620  0.0  0.0  18560  3992 ?        Ss   19:23   0:00 /usr/lib/iwd/iwd
root         622  0.1  0.0 306744  9032 ?        Ssl  19:23   0:07 /usr/bin/nvidia-powerd
root         625  0.0  0.0 308380  9536 ?        Ssl  19:23   0:00 /usr/lib/switcheroo-control
root         626  0.0  0.0  10504  8140 ?        Ss   19:23   0:00 /usr/lib/systemd/systemd-logind
polkitd      650  0.0  0.0 386944 14264 ?        Ssl  19:23   0:01 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
root         757  0.0  0.0  12944  7720 ?        Ss   19:23   0:00 sshd: /usr/bin/sshd -D [listener] 0 of 10-100 startups
root         772  0.0  0.1 162004 25052 ?        Ssl  19:23   0:00 /usr/bin/sddm
root         774  0.0  0.7 26147588 116788 tty2  Ssl+ 19:23   0:01 /usr/lib/Xorg -nolisten tcp -background none -seat seat0 vt2 -auth /run/sddm/xauth_yiUGyl -noreset -displayfd 16
root         802  0.0  0.0      0     0 ?        S    19:23   0:00 [nvidia-drm/timeline-16]
root         810  0.0  0.0      0     0 ?        S    19:23   0:01 [mt76-tx phy0]
root         813  0.0  0.0  21068 13680 ?        Ss   19:23   0:00 /usr/bin/wpa_supplicant -u -s -O /run/wpa_supplicant
root         818  0.0  0.0      0     0 ?        S    19:23   0:00 [psimon]
root         852  0.0  0.1  91580 25144 ?        S    19:23   0:00 /usr/lib/sddm/sddm-helper --socket /tmp/sddm-auth-16bcd427-58bd-43ab-b74d-3d15d95b461f --id 1 --start /usr/lib/plasma-dbus-run-session-if-needed /usr/bin/startplasma-wayland --user tezivindh
tezivin+     858  0.0  0.0  19136 13156 ?        Ss   19:23   0:01 /usr/lib/systemd/systemd --user
tezivin+     860  0.0  0.0  19512  3748 ?        S    19:23   0:00 (sd-pam)
tezivin+     870  0.0  0.2 234864 38472 tty1     Ssl+ 19:23   0:00 /usr/bin/startplasma-wayland
tezivin+     929  0.0  0.0   7716  3936 ?        Ss   19:24   0:00 /usr/bin/dbus-broker-launch --scope user
tezivin+     930  0.0  0.0   6860  5028 ?        S    19:24   0:03 dbus-broker --log 11 --controller 10 --machine-id f9a86127b0634afdb4117875ff41e725 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
tezivin+     938  0.0  0.1  47716 27904 ?        Ss   19:24   0:00 /usr/bin/python3 /home/tezivindh/.local/share/pearos-settings/screentime-collector.py
tezivin+     940  0.0  0.1 160588 17944 ?        Ssl  19:24   0:00 /usr/bin/kwin_wayland_wrapper --xwayland
tezivin+     946  0.0  0.2 268678772 37688 ?     SNsl 19:24   0:00 /usr/lib/kf6/baloo_file
tezivin+     947  6.2  2.0 2049164 334200 ?      Sl   19:24   5:40 /usr/bin/kwin_wayland --wayland-fd 7 --socket wayland-0 --xwayland-fd 8 --xwayland-fd 9 --xwayland-display :1 --xwayland-xauthority /run/user/1001/xauth_IjRwdA --xwayland
root         955  0.0  0.0 320960 14028 ?        Ssl  19:24   0:00 /usr/lib/upowerd
root         965  0.0  0.0 479464 14936 ?        Ssl  19:24   0:00 /usr/lib/udisks2/udisksd
root         973  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-1f]
root         975  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-20]
root         978  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-21]
root         981  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-22]
root         982  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-23]
root         983  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-24]
root         984  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-25]
root         985  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-26]
root         986  0.0  0.0      0     0 ?        S    19:24   0:00 [nvidia-drm/timeline-27]
tezivin+    1013  0.0  0.1 108532 16468 ?        S<sl 19:24   0:02 /usr/bin/pipewire
tezivin+    1014  0.0  0.1 489568 25332 ?        S<sl 19:24   0:03 /usr/bin/wireplumber
rtkit       1020  0.0  0.0  21104  3288 ?        SNsl 19:24   0:00 /usr/lib/rtkit-daemon
root        1038  0.0  0.0      0     0 ?        S<   19:24   0:00 [krfcommd]
tezivin+    1054  0.0  0.3 752456 51704 ?        Sl   19:24   0:00 /usr/bin/Xwayland :1 -auth /run/user/1001/xauth_IjRwdA -listenfd 8 -listenfd 9 -displayfd 136 -wm 145 -rootless
tezivin+    1068  0.0  0.0 380144  7616 ?        Ssl  19:24   0:00 /usr/lib/at-spi-bus-launcher
tezivin+    1081  0.0  0.0   7588  3828 ?        S    19:24   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
tezivin+    1085  0.0  0.0   4848  2980 ?        S    19:24   0:00 dbus-broker --log 10 --controller 9 --machine-id f9a86127b0634afdb4117875ff41e725 --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
tezivin+    1099  0.0  0.5 1177000 89472 ?       Ssl  19:24   0:01 /usr/bin/kded6
tezivin+    1100  0.0  0.3 323168 50360 ?        Ssl  19:24   0:00 /usr/bin/ksmserver
tezivin+    1106  2.9  4.8 3630852 779784 ?      Ssl  19:24   2:38 /usr/bin/plasmashell --no-respawn
tezivin+    1107  0.0  0.0 167988  7416 ?        Ssl  19:24   0:00 /usr/lib/at-spi2-registryd --use-gnome-session
tezivin+    1118  0.0  0.0 165668  6544 ?        Ssl  19:24   0:00 /usr/lib/dconf-service
tezivin+    1134  0.0  0.1 191324 20632 ?        S<sl 19:24   0:02 /usr/bin/pipewire-pulse
tezivin+    1141  0.0  0.2 666728 45816 ?        Ssl  19:24   0:00 /usr/lib/kactivitymanagerd
tezivin+    1142  0.0  0.1 239828 27128 ?        Ssl  19:24   0:00 /usr/bin/gmenudbusmenuproxy
tezivin+    1143  0.0  0.3 346208 59240 ?        Ssl  19:24   0:00 /usr/bin/kaccess
tezivin+    1144  0.0  2.1 1537896 351636 ?      Ssl  19:24   0:01 /usr/lib/polkit-kde-authentication-agent-1
tezivin+    1145  0.4  0.4 920136 65076 ?        Ssl  19:24   0:23 /usr/lib/org_kde_powerdevil
tezivin+    1146  0.0  0.1 237104 26212 ?        Ssl  19:24   0:00 /usr/bin/xembedsniproxy
tezivin+    1178  0.0  0.0   8924  5036 ?        S    19:24   0:00 /usr/bin/xsettingsd
tezivin+    1196  0.1  0.2 187936 34908 ?        Ssl  19:24   0:06 /usr/bin/ksystemstats
tezivin+    1237  0.0  0.5 884668 92356 ?        Ssl  19:24   0:01 /usr/bin/kdeconnectd
tezivin+    1282  0.0  0.4 423732 70192 ?        Ssl  19:24   0:02 /usr/bin/pearos-notch
tezivin+    1295  0.0  0.1 625088 19216 ?        Ssl  19:24   0:02 /usr/lib/xdg-desktop-portal
tezivin+    1301  0.0  0.0 316160  8556 ?        Ssl  19:24   0:00 /usr/lib/geoclue-2.0/demos/agent
tezivin+    1302  0.0  0.6 918876 101184 ?       Ssl  19:24   0:00 /usr/bin/kalendarac
tezivin+    1324  0.0  0.0 307780  8676 ?        Ssl  19:24   0:00 /usr/lib/xdg-permission-store
tezivin+    1331  0.0  0.0 686404  9048 ?        Ssl  19:24   0:01 /usr/lib/xdg-document-portal
root        1344  0.0  0.0   3000  2208 ?        Ss   19:24   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1001/doc
tezivin+    1348  0.0  0.1 533868 31668 ?        Ssl  19:24   0:00 /usr/lib/xdg-desktop-portal-gtk
tezivin+    1356  0.0  0.0 331240 14680 ?        Ssl  19:24   0:00 /usr/lib/gvfsd
tezivin+    1370  0.0  0.0 472480  7520 ?        Sl   19:24   0:00 /usr/lib/gvfsd-fuse /run/user/1001/gvfs -f
tezivin+    1381  0.0  1.3 1479804 211916 ?      Ssl  19:24   0:01 /usr/lib/xdg-desktop-portal-kde
tezivin+    1391  0.0  0.3 34493972 51960 ?      S    19:24   0:00 /usr/lib/qt6/QtWebEngineProcess --type=zygote --no-zygote-sandbox --application-name=plasmashell --webengine-schemes=qrc:sV --webengine-locales-path=/usr/share/qt6/translations/qtwebengine_locales --webengine-resources-path=/usr/share/qt6/resources --lang=en
tezivin+    1392  0.0  0.3 34493968 52108 ?      S    19:24   0:00 /usr/lib/qt6/QtWebEngineProcess --type=zygote --application-name=plasmashell --webengine-schemes=qrc:sV --webengine-locales-path=/usr/share/qt6/translations/qtwebengine_locales --webengine-resources-path=/usr/share/qt6/resources --lang=en
tezivin+    1394  0.0  0.1 34493992 17932 ?      S    19:24   0:00 /usr/lib/qt6/QtWebEngineProcess --type=zygote --application-name=plasmashell --webengine-schemes=qrc:sV --webengine-locales-path=/usr/share/qt6/translations/qtwebengine_locales --webengine-resources-path=/usr/share/qt6/resources --lang=en
tezivin+    1435  0.0  0.0   8028  3840 ?        S    19:24   0:00 bash /usr/share/plasma/plasmoids/luisbocanegra.panel.colorizer/contents/ui/tools/gdbus_get_signal.sh session luisbocanegra.panel.colorizer.c3.w131 luisbocanegra.panel.colorizer.c3.w131 preset preset_changed
tezivin+    1436  0.0  0.0   8028  3864 ?        S    19:24   0:00 bash /usr/share/plasma/plasmoids/luisbocanegra.panel.colorizer/contents/ui/tools/gdbus_get_signal.sh session luisbocanegra.panel.colorizer.c3.w131 luisbocanegra.panel.colorizer.c3.w131 preset property_changed
tezivin+    1437  0.0  0.1  47648 28016 ?        S    19:24   0:00 /usr/bin/python3 /usr/share/plasma/plasmoids/luisbocanegra.panel.colorizer/contents/ui/tools/service.py 3 131
tezivin+    1440  0.0  0.0 168620  6344 ?        Sl   19:24   0:00 gdbus monitor --session --dest luisbocanegra.panel.colorizer.c3.w131
tezivin+    1441  0.0  0.0 168620  6160 ?        Sl   19:24   0:00 gdbus monitor --session --dest luisbocanegra.panel.colorizer.c3.w131
tezivin+    1442  0.0  0.0   6044  2112 ?        S    19:24   0:00 tail -f /tmp/tmp.I3MGAVS3TH
tezivin+    1443  0.0  0.0   6044  2112 ?        S    19:24   0:00 tail -f /tmp/tmp.7Y3Vg3Pa3V
tezivin+    1444  0.0  0.0   8028  2200 ?        S    19:24   0:00 bash /usr/share/plasma/plasmoids/luisbocanegra.panel.colorizer/contents/ui/tools/gdbus_get_signal.sh session luisbocanegra.panel.colorizer.c3.w131 luisbocanegra.panel.colorizer.c3.w131 preset preset_changed
tezivin+    1445  0.0  0.0   8028  2204 ?        S    19:24   0:00 bash /usr/share/plasma/plasmoids/luisbocanegra.panel.colorizer/contents/ui/tools/gdbus_get_signal.sh session luisbocanegra.panel.colorizer.c3.w131 luisbocanegra.panel.colorizer.c3.w131 preset property_changed
tezivin+    1502  3.3  8.1 1284525656 1307956 ?  Sl   19:24   3:00 /usr/lib/qt6/QtWebEngineProcess --type=renderer --webengine-schemes=qrc:sV --webengine-locales-path=/usr/share/qt6/translations/qtwebengine_locales --webengine-resources-path=/usr/share/qt6/resources --disable-speech-api --touch-events=auto --disable-blink-features=EyeDropperAPI,WebOTP,DocumentPictureInPictureAPI --lang=en --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=3 --time-ticks-at-unix-epoch=-1788357199451518 --launch-time-ticks=20537704 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,18190021734057682998,6423110278586536570,262144 --enable-features=NetworkServiceInProcess2,TracingServiceInProcess --disable-features=BackgroundFetch,EyeDropper,InstalledApp,WebOTP,WebPayments,WebUSB,kSanitizeOriginalUrlDuringNavigation --variations-seed-version
tezivin+    1549  0.0  0.5 1105860 93784 ?       Sl   19:24   0:00 /usr/lib/qt6/QtWebEngineProcess --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en --service-sandbox-type=none --use-gl=angle --application-name=plasmashell --webengine-schemes=qrc:sV --webengine-locales-path=/usr/share/qt6/translations/qtwebengine_locales --webengine-resources-path=/usr/share/qt6/resources --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,18190021734057682998,6423110278586536570,262144 --enable-features=NetworkServiceInProcess2,TracingServiceInProcess --disable-features=BackgroundFetch,EyeDropper,InstalledApp,WebOTP,WebPayments,WebUSB,kSanitizeOriginalUrlDuringNavigation --variations-seed-version
tezivin+    2239  0.0  0.4 268855328 67500 ?     Ssl  19:24   0:00 /usr/lib/baloorunner
tezivin+    2301  6.2  7.6 38728312 1235268 ?    Ssl  19:24   5:34 /usr/lib/seafari/firefox --name seafari --class seafari --profile /home/tezivindh/.mozilla/seafari-profile -no-remote
tezivin+    2324  0.0  0.0 151844  3500 ?        Sl   19:24   0:00 /usr/lib/seafari/crashhelper 2301 9 /tmp/ 11
tezivin+    2399  0.0  0.2 465268 32836 ?        S    19:24   0:00 /usr/lib/seafari/firefox-bin -contentproc -ipcHandle 0 -signalPipe 1 -initialChannelId {a2d4e1fd-ab81-42ad-bb8f-93f2480076c2} -parentPid 2301 -greomni /usr/lib/seafari/omni.ja -appomni /usr/lib/seafari/browser/omni.ja -appDir /usr/lib/seafari/browser 1 forkserver
